Counter,coll.date,count.date,block,row.no,plant.no,total.berries,berry.no,mass,brix,big.seeds,med.seeds,lil.seeds,notes,total.seeds,big.med.seeds,percent.big.seeds,percent.big.med.seeds,percent.unfertilized
Elizabeth,7/25/2018,10/1/2018,A,2,33,1,1,1.6571,10,40,47,4,,91,87,0.43956044,0.956043956,0.043956044
Elizabeth,7/25/2018,10/1/2018,A,6,253,1,1,0.7694,8,14,68,11,,93,82,0.150537634,0.88172043,0.11827957
Elizabeth,7/25/2018,10/2/2018,A,3,92,1,1,1.1718,14,1,0,7,,8,1,0.125,0.125,0.875
Elizabeth,7/25/2018,10/2/2018,A,4,8,3,1,1.263,10,12,106,14,,132,118,0.090909091,0.893939394,0.106060606
Elizabeth,7/25/2018,10/2/2018,A,4,8,3,2,1.5103,9,17,82,6,,105,99,0.161904762,0.942857143,0.057142857
Elizabeth,7/25/2018,10/2/2018,A,4,8,3,3,1.5545,10,15,87,7,,109,102,0.137614679,0.935779817,0.064220183
Elizabeth,7/16/2018,10/2/2018,A,6,104,5,1,2.8372,13,29,12,1,,42,41,0.69047619,0.976190476,0.023809524
Elizabeth,7/16/2018,10/2/2018,A,6,104,5,2,1.6499,9,30,23,0,,53,53,0.566037736,1,0
Elizabeth,7/16/2018,10/2/2018,A,6,104,5,3,2.9251,14,31,24,0,,55,55,0.563636364,1,0
Elizabeth,7/16/2018,10/2/2018,A,6,104,5,4,1.7963,10,31,16,4,,51,47,0.607843137,0.921568627,0.078431373
Elizabeth,7/16/2018,10/2/2018,A,6,104,5,5,1.9148,11,33,17,6,,56,50,0.589285714,0.892857143,0.107142857
Elizabeth,7/16/2018,10/9/2018,A,5,218,5,1,1.9898,13,45,30,2,,77,75,0.584415584,0.974025974,0.025974026
Elizabeth,7/16/2018,10/9/2018,A,5,218,5,2,1.2409,9,22,45,8,,75,67,0.293333333,0.893333333,0.106666667
Elizabeth,7/16/2018,10/9/2018,A,5,218,5,3,2.5062,15,33,33,4,,70,66,0.471428571,0.942857143,0.057142857
Elizabeth,7/16/2018,10/9/2018,A,5,218,5,4,1.5251,10,32,21,7,,60,53,0.533333333,0.883333333,0.116666667
Elizabeth,7/16/2018,10/9/2018,A,5,218,5,5,2.5754,19,17,21,6,,44,38,0.386363636,0.863636364,0.136363636
Elizabeth,7/16/2018,10/9/2018,A,5,169,5,1,2.3888,13,46,27,7,,80,73,0.575,0.9125,0.0875
Elizabeth,7/16/2018,10/9/2018,A,5,169,5,2,1.7117,9,47,29,6,,82,76,0.573170732,0.926829268,0.073170732
Elizabeth,7/16/2018,10/9/2018,A,5,169,5,3,1.6751,9,44,25,15,,84,69,0.523809524,0.821428571,0.178571429
Elizabeth,7/16/2018,10/9/2018,A,5,169,5,4,2.0478,12,49,27,12,,88,76,0.556818182,0.863636364,0.136363636
Elizabeth,7/16/2018,10/9/2018,A,5,169,5,5,2.1103,13,5,45,7,,57,50,0.087719298,0.877192982,0.122807018
Elizabeth,7/16/2018,10/9/2018,A,5,355,5,1,1.3004,10,23,26,11,,60,49,0.383333333,0.816666667,0.183333333
Elizabeth,7/16/2018,10/9/2018,A,5,355,5,2,1.2227,10,30,22,9,,61,52,0.491803279,0.852459016,0.147540984
Elizabeth,7/16/2018,10/9/2018,A,5,355,5,3,1.3667,10,23,32,5,,60,55,0.383333333,0.916666667,0.083333333
Elizabeth,7/16/2018,10/9/2018,A,5,355,5,4,1.392,11,30,16,10,,56,46,0.535714286,0.821428571,0.178571429
Elizabeth,7/16/2018,10/9/2018,A,5,355,5,5,1.7459,11,29,21,7,,57,50,0.50877193,0.877192982,0.122807018
Elizabeth,7/16/2018,10/9/2018,A,6,354,4,1,1.9119,10,37,33,4,,74,70,0.5,0.945945946,0.054054054
Elizabeth,7/16/2018,10/9/2018,A,6,354,4,2,2.267,12,38,18,3,,59,56,0.644067797,0.949152542,0.050847458
Elizabeth,7/16/2018,10/9/2018,A,6,354,4,3,2.6123,13,31,30,4,,65,61,0.476923077,0.938461538,0.061538462
Elizabeth,7/16/2018,10/9/2018,A,6,354,4,4,1.7049,10,31,40,2,,73,71,0.424657534,0.97260274,0.02739726
Elizabeth,7/16/2018,10/16/2018,A,5,88,4,1,2.1941,11,51,27,2,,80,78,0.6375,0.975,0.025
Elizabeth,7/16/2018,10/16/2018,A,5,88,4,2,1.8576,11,33,30,10,,73,63,0.452054795,0.863013699,0.136986301
Elizabeth,7/16/2018,10/16/2018,A,5,88,4,3,2.1048,11,43,27,7,,77,70,0.558441558,0.909090909,0.090909091
Elizabeth,7/16/2018,10/16/2018,A,5,88,4,4,2.139,11,38,30,9,,77,68,0.493506494,0.883116883,0.116883117
Elizabeth,7/16/2018,10/16/2018,A,6,253,4,1,1.4643,10,17,50,8,,75,67,0.226666667,0.893333333,0.106666667
Elizabeth,7/16/2018,10/16/2018,A,6,253,4,2,1.4904,9,38,29,12,,79,67,0.481012658,0.848101266,0.151898734
Elizabeth,7/16/2018,10/16/2018,A,6,253,4,3,2.0386,13,38,36,7,,81,74,0.469135802,0.913580247,0.086419753
Elizabeth,7/16/2018,10/16/2018,A,6,253,4,4,2.1409,14,37,38,13,,88,75,0.420454545,0.852272727,0.147727273
Elizabeth,7/19/2018,10/29/2018,A,6,156,2,1,2.2366,10,40,50,3,,93,90,0.430107527,0.967741935,0.032258065
Elizabeth,7/19/2018,10/29/2018,A,6,156,2,2,2.1132,11,32,44,6,,82,76,0.390243902,0.926829268,0.073170732
Elizabeth,7/19/2018,10/29/2018,A,6,354,3,1,1.6821,10,27,35,12,,74,62,0.364864865,0.837837838,0.162162162
Elizabeth,7/19/2018,10/29/2018,A,6,354,3,2,1.7125,11,31,21,10,,62,52,0.5,0.838709677,0.161290323
Elizabeth,7/19/2018,10/29/2018,A,6,354,3,3,1.6551,10,20,36,12,,68,56,0.294117647,0.823529412,0.176470588
Elizabeth,7/20/2018,10/30/2018,A,1,57,2,1,1.5589,13,13,62,21,,96,75,0.135416667,0.78125,0.21875
Elizabeth,7/20/2018,10/30/2018,A,1,57,2,2,1.3483,13,6,89,9,,104,95,0.057692308,0.913461538,0.086538462
